('national', 'park')
('sir', 'lank')
('swim', 'pool')
('cinnamon', 'grand')
('highly', 'recommend')
('sir', 'landau')
('staff', 'helpful')
('would', 'recommend')
('jim', 'correct')
('staff', 'friendly')
('take', 'care')
('room', 'clean')
('hot', 'water')
('well', 'maintain')
('can', 'not')
('value', 'money')
('come', 'back')
('room', 'spacious')
('stay', 'night')
('early', 'morning')
('club', 'mahindra')
('front', 'desk')
('make', 'sure')
('special', 'thanks')
('air', 'condition')
('food', 'good')
('make', 'feel')
('look', 'forward')
('staff', 'courteous')
('yale', 'national')
('recommend', 'anyone')
('friendly', 'helpful')
('yale', 'park')
('two', 'night')
('lunch', 'dinner')
('food', 'delicious')
('special', 'mention')
('make', 'memorable')
('front', 'office')
('see', 'tiger')
('game', 'drive')
('stayed', 'night')
('wild', 'bear')
('food', 'taste')
('la', 'carte')
('i', 'i')
('most', 'river')
('one', 'best')
('f', 'b')
('breakfast', 'dinner')
('lush', 'green')
('thanks', 'mr')
('definitely', 'recommend')
('excellent', 'service')
('room', 'comfortable')
('mr', 'mr')
('overall', 'experience')
('sloth', 'bear')
('feel', 'home')
('tea', 'coffee')
('would', 'definitely')
('neat', 'clean')
('away', 'madhopur')
('one', 'night')
('leopard', 'trail')
('attention', 'detail')
('would', 'like')
('mosquito', 'net')
('five', 'star')
('getting', 'yale')
('best', 'ever')
('year', 'old')
('give', 'u')
('le', 'meridian')
('swimming', 'pool')
('table', 'tennis')
('best', 'part')
('warm', 'welcome')
('staff', 'attentive')
('deep', 'salary')
('rustle', 'bustle')
('room', 'bathroom')
('always', 'smile')
('top', 'notch')
('must', 'visit')
('staff', 'polite')
('general', 'manager')
('highly', 'recommended')
('main', 'road')
('food', 'excellent')
('go', 'way')
('help', 'u')
('friendly', 'staff')
('overview', 'retreat')
('live', 'music')
('railway', 'station')
('wild', 'life')
('breakfast', 'lunch')
('mr', 'b')
('flora', 'found')
('morning', 'salary')
('breakfast', 'buffets')
('feel', 'like')
('breeze', 'bar')
('china', 'hut')
('non', 've')
('nothing', 'trouble')
('food', 'service')
('co', 'operative')
('food', 'quality')
('place', 'stay')
('spacious', 'clean')
('pool', 'area')
('mr', 'sigh')
('welcome', 'drink')
('new', 'year')
('customer', 'service')
('bathroom', 'shower')
('lucky', 'enough')
('exceed', 'expectation')
('cheer', 'pub')
('recommend', 'place')
('see', 'leopard')
('even', 'though')
('service', 'excellent')
('special', 'mr')
('make', 'stay')
('speak', 'english')
('bank', 'river')
('da', 'palace')
('comfortable', 'bed')
('visit', 'correct')
('make', 'special')
('smile', 'face')
('well', 'appoint')
('spend', 'time')
('must', 'say')
('saw', 'leopard')
('extra', 'mile')
('manager', 'mr')
('definitely', 'back')
('saw', 'tiger')
('tut', 'tut')
('high', 'standard')
('master', 'hamper')
('river', 'view')
('go', 'back')
('take', 'u')
('elephant', 'ride')
('saw', 'elephant')
('clean', 'comfortable')
('bed', 'comfortable')
('room', 'large')
('lucky', 'see')
('felt', 'like')
('staff', 'member')
('good', 'food')
('th', 'th')
('close', 'park')
('extremely', 'helpful')
('much', 'trouble')
('strongly', 'recommend')
('river', 'flow')
('roof', 'top')
('upon', 'arrival')
('next', 'day')
('reasonably', 'price')
('thoroughly', 'enjoy')
('buffets', 'breakfast')
('correct', 'park')
('service', 'staff')
('would', 'highly')
('thanks', 'team')
('back', 'soon')
('would', 'anyone')
('guide', 'knowledgeable')
('executive', 'lounge')
('reasonable', 'price')
('water', 'bottle')
('always', 'ready')
('read', 'review')
('coffee', 'shop')
('nothing', 'much')
('definitely', 'visit')
('din', 'area')
('oberlin', 'vanyavilas')
('air', 'con')
('luxury', 'tent')
('staff', 'always')
('sand', 'done')
('buffets', 'style')
('make', 'comfortable')
('spent', 'night')
('credit', 'card')
('room', 'bed')
('always', 'help')
('staff', 'cooperative')
('stay', 'two')
('good', 'service')
('recommend', 'everyone')
('mahindra', 'correct')
('ground', 'floor')
('really', 'good')
('thank', 'much')
('like', 'home')
('pool', 'bar')
('water', 'buffalo')
('staff', 'extremely')
('buffets', 'dinner')
('mange', 'tree')
('great', 'service')
('celebrate', 'birthday')
('nature', 'walk')
('nature', 'lover')
('would', 'love')
('executive', 'floor')
('elephant', 'salary')
('hot', 'shower')
('room', 'big')
('deluge', 'room')
('tiger', 'reserve')
('wild', 'animal')
('ready', 'help')
('delicious', 'food')
('room', 'service')
('place', 'relax')
('solluna', 'resort')
('definitely', 'come')
('lemon', 'tree')
('indoor', 'game')
('pick', 'drop')
('free', 'wife')
('bank', 'most')
('spot', 'tiger')
('write', 'review')
('family', 'friend')
('two', 'day')
('really', 'nice')
('thank', 'team')
('ice', 'cream')
('jungle', 'salary')
('star', 'hotel')
('make', 'u')
('enjoy', 'lot')
('wonderful', 'experience')
('recommend', 'visit')
('tiger', 'salary')
('kid', 'play')
('arrange', 'salary')
('club', 'correct')
('see', 'animal')
('wan', 'na')
('correct', 'national')
('book', 'salary')
('staff', 'help')
('whitman', 'national')
('open', 'air')
('room', 'balcony')
('overall', 'stay')
('service', 'food')
('first', 'time')
('gale', 'face')
('ranthambore', 'national')
('recommend', 'stay')
('river', 'side')
('close', 'national')
('spend', 'night')
('grand', 'colombia')
('never', 'forget')
('u', 'feel')
('answer', 'question')
('could', 'better')
('mouth', 'water')
('whitman', 'park')
('le', 'roi')
('wide', 'range')
('many', 'bird')
('room', 'size')
('london', 'drill')
('food', 'serve')
('close', 'airport')
('next', 'morning')
('ve', 've')
('service', 'good')
('saw', 'animal')
('spacious', 'bathroom')
('well', 'trained')
('natural', 'beauty')
('th', 'floor')
('high', 'tea')
('see', 'elephant')
('keep', 'work')
('really', 'enjoyed')
('clean', 'room')
('vanya', 'mahan')
('view', 'river')
('bottle', 'water')
('enjoy', 'stay')
('folk', 'dance')
('river', 'most')
('infinity', 'pool')
('park', 'entrance')
('walk', 'distance')
('food', 'great')
('food', 'variety')
('bird', 'watch')
('indian', 'ocean')
('entire', 'team')
('make', 'home')
('birthday', 'cake')
('celebrate', 'anniversary')
('last', 'week')
('grand', 'sultan')
('cinnamon', 'colombia')
('house', 'keep')
('spacious', 'room')
('dinner', 'buffets')
('lap', 'nature')
('spot', 'deer')
('really', 'enjoy')
('wide', 'variety')
('world', 'class')
('recommend', 'friend')
('spacious', 'comfortable')
('indoor', 'outdoor')
('visit', 'national')
('ice', 'cake')
('lucky', 'tiger')
('trip', 'adviser')
('recommend', 'hotel')
('stay', 'hotel')
('boys', 'cave')
('book', 'advance')
('specially', 'mr')
('leopard', 'elephant')
('deer', 'bird')
('well', 'equip')
('co', 'friendly')
('stay', 'memorable')
('excellent', 'food')
('worth', 'money')
('udawalawe', 'national')
('stay', 'resort')
('play', 'area')
('large', 'bathroom')
('stayed', 'one')
('book', 'com')
('correct', 'resort')
('south', 'indian')
('tent', 'comfortable')
('coffee', 'stop')
('on', 'fire')
('deer', 'monkey')
('tea', 'lounge')
('clean', 'bathroom')
('visit', 'park')
('din', 'hall')
('check', 'smooth')
('udawalawe', 'park')
('suffer', 'zone')
('last', 'year')
('leopard', 'bear')
('friend', 'family')
('next', 'door')
('conveniently', 'locate')
('visit', 'ranthambore')
('wild', 'coast')
('bath', 'tub')
('cold', 'towel')
('anywhere', 'else')
